,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
13,0.638,0.367,4,-7.906,1,0.0266,0.84,0.0,0.0999,0.219,71.957,audio_features,5f67qP7EXnVPyhZYquhgQ3,spotify:track:5f67qP7EXnVPyhZYquhgQ3,https://api.spotify.com/v1/tracks/5f67qP7EXnVPyhZYquhgQ3,https://api.spotify.com/v1/audio-analysis/5f67qP7EXnVPyhZYquhgQ3,217120,4
14,0.616,0.546,1,-7.625,0,0.0298,0.507,0.0,0.0825,0.718,109.981,audio_features,4cflctnhgWznbpzjncaUou,spotify:track:4cflctnhgWznbpzjncaUou,https://api.spotify.com/v1/tracks/4cflctnhgWznbpzjncaUou,https://api.spotify.com/v1/audio-analysis/4cflctnhgWznbpzjncaUou,155400,4
15,0.544,0.781,6,-6.16,0,0.0311,0.00585,0.0,0.191,0.527,144.075,audio_features,4gB7HrYHbJVJ5RFOjxmoq4,spotify:track:4gB7HrYHbJVJ5RFOjxmoq4,https://api.spotify.com/v1/tracks/4gB7HrYHbJVJ5RFOjxmoq4,https://api.spotify.com/v1/audio-analysis/4gB7HrYHbJVJ5RFOjxmoq4,221800,4
16,0.375,0.574,7,-5.305,1,0.0315,0.143,0.0,0.11,0.406,132.025,audio_features,6EGAfJaLUFzhS4zRBIEQ2J,spotify:track:6EGAfJaLUFzhS4zRBIEQ2J,https://api.spotify.com/v1/tracks/6EGAfJaLUFzhS4zRBIEQ2J,https://api.spotify.com/v1/audio-analysis/6EGAfJaLUFzhS4zRBIEQ2J,196800,3
17,0.434,0.526,0,-6.783,0,0.0307,0.581,0.0,0.119,0.212,86.63,audio_features,30xWdToMsCo8J18aqpJ3wt,spotify:track:30xWdToMsCo8J18aqpJ3wt,https://api.spotify.com/v1/tracks/30xWdToMsCo8J18aqpJ3wt,https://api.spotify.com/v1/audio-analysis/30xWdToMsCo8J18aqpJ3wt,261427,4
18,0.68,0.741,2,-5.055,1,0.0357,0.347,1.87e-06,0.117,0.635,127.024,audio_features,2qYsSHsYkihWx043HVJQRV,spotify:track:2qYsSHsYkihWx043HVJQRV,https://api.spotify.com/v1/tracks/2qYsSHsYkihWx043HVJQRV,https://api.spotify.com/v1/audio-analysis/2qYsSHsYkihWx043HVJQRV,229400,4
19,0.582,0.568,1,-6.051,1,0.0297,0.196,0.0,0.0841,0.64,76.025,audio_features,1elh7SJVKWt2xpqwCLRRzG,spotify:track:1elh7SJVKWt2xpqwCLRRzG,https://api.spotify.com/v1/tracks/1elh7SJVKWt2xpqwCLRRzG,https://api.spotify.com/v1/audio-analysis/1elh7SJVKWt2xpqwCLRRzG,208640,4
20,0.753,0.505,2,-8.108,1,0.042,0.735,0.0,0.0797,0.895,78.003,audio_features,6WHrPC6ifZtKOoudTLa92r,spotify:track:6WHrPC6ifZtKOoudTLa92r,https://api.spotify.com/v1/tracks/6WHrPC6ifZtKOoudTLa92r,https://api.spotify.com/v1/audio-analysis/6WHrPC6ifZtKOoudTLa92r,155613,4
21,0.715,0.584,8,-8.231,1,0.0296,0.432,1.41e-06,0.095,0.61,90.987,audio_features,1yEwEiTpsaPhQi9lb5EVV4,spotify:track:1yEwEiTpsaPhQi9lb5EVV4,https://api.spotify.com/v1/tracks/1yEwEiTpsaPhQi9lb5EVV4,https://api.spotify.com/v1/audio-analysis/1yEwEiTpsaPhQi9lb5EVV4,203173,4
22,0.645,0.904,2,-4.532,1,0.0462,0.0293,0.0,0.0834,0.671,105.97,audio_features,0yD66650JxhqKbW76C2qCo,spotify:track:0yD66650JxhqKbW76C2qCo,https://api.spotify.com/v1/tracks/0yD66650JxhqKbW76C2qCo,https://api.spotify.com/v1/audio-analysis/0yD66650JxhqKbW76C2qCo,225560,4
23,0.608,0.649,1,-7.569,1,0.0553,0.144,0.0,0.184,0.617,180.042,audio_features,02Itey2R8caJSR2e7aFgJb,spotify:track:02Itey2R8caJSR2e7aFgJb,https://api.spotify.com/v1/tracks/02Itey2R8caJSR2e7aFgJb,https://api.spotify.com/v1/audio-analysis/02Itey2R8caJSR2e7aFgJb,190472,4
24,0.57,0.684,6,-7.054,1,0.0465,0.136,0.0,0.205,0.531,89.012,audio_features,4f3fb3alVLFc8Ga4ncpg7x,spotify:track:4f3fb3alVLFc8Ga4ncpg7x,https://api.spotify.com/v1/tracks/4f3fb3alVLFc8Ga4ncpg7x,https://api.spotify.com/v1/audio-analysis/4f3fb3alVLFc8Ga4ncpg7x,213183,4
25,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,audio_features,2rxQMGVafnNaRaXlRMWPde,spotify:track:2rxQMGVafnNaRaXlRMWPde,https://api.spotify.com/v1/tracks/2rxQMGVafnNaRaXlRMWPde,https://api.spotify.com/v1/audio-analysis/2rxQMGVafnNaRaXlRMWPde,193200,4
26,0.613,0.609,4,-7.366,1,0.028,0.333,0.0,0.0786,0.782,90.008,audio_features,7xHlTHctCYU4INtBHynjhf,spotify:track:7xHlTHctCYU4INtBHynjhf,https://api.spotify.com/v1/tracks/7xHlTHctCYU4INtBHynjhf,https://api.spotify.com/v1/audio-analysis/7xHlTHctCYU4INtBHynjhf,140000,4
27,0.489,0.581,11,-5.731,1,0.0281,0.0312,0.0,0.132,0.494,86.016,audio_features,42fw0rxRO2xbesF6mJfd4Y,spotify:track:42fw0rxRO2xbesF6mJfd4Y,https://api.spotify.com/v1/tracks/42fw0rxRO2xbesF6mJfd4Y,https://api.spotify.com/v1/audio-analysis/42fw0rxRO2xbesF6mJfd4Y,196747,4
28,0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.938,audio_features,7mldq42yDuxiUNn08nvzHO,spotify:track:7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/tracks/7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/audio-analysis/7mldq42yDuxiUNn08nvzHO,165387,4
29,0.678,0.526,5,-7.292,1,0.0281,0.329,0.0,0.302,0.492,87.005,audio_features,5htghP7rThIe6oXBN6uYI5,spotify:track:5htghP7rThIe6oXBN6uYI5,https://api.spotify.com/v1/tracks/5htghP7rThIe6oXBN6uYI5,https://api.spotify.com/v1/audio-analysis/5htghP7rThIe6oXBN6uYI5,194093,4
30,0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,audio_features,03fT3OHB9KyMtGMt2zwqCT,spotify:track:03fT3OHB9KyMtGMt2zwqCT,https://api.spotify.com/v1/tracks/03fT3OHB9KyMtGMt2zwqCT,https://api.spotify.com/v1/audio-analysis/03fT3OHB9KyMtGMt2zwqCT,226867,4
